Admission,Registrar,Guidance Office,Health Services/Clinic,Library Services,Student Publication,Scholarship Services,Student Services Office,Comment,Semester,AcadYear,Block,College
5,5,5,5,5,5,5,5,sumunod sa lahat ng patakaran ng cnsc,1st Semester,2021-2022,1A,CCMS
4,4,5,4,4,4,5,5,lubos ako natulungan para mahubog ang aking kakayanan,1st Semester,2021-2022,1A,IFMS
5,5,4,5,5,5,5,4,magkaroon ng pinamagandang maaaring batayang edukasyon para sa lahat ng mag-aaral.,1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,5,5,5,5,mas galingan at ipagpatuloy nila ang mabuting serbisyo,1st Semester,2021-2022,1A,CCMS
4,4,4,4,4,4,4,4,responsible in every student,1st Semester,2021-2022,1A,IFMS
5,5,5,5,5,5,5,5,satisfied na po.,1st Semester,2021-2022,1A,BS-Fisheries
4,3,4,4,4,4,4,4,satisfied na po.,1st Semester,2021-2022,1A,CCMS
5,4,5,5,5,5,5,5,satisfied na po.,1st Semester,2021-2022,1A,IFMS
5,5,5,5,5,5,5,5,"""make every interaction count, even the small one they are relevant""""no one must left behind"" - reaching and giving more opportunities to those students who need it the most, it must be given more attention. we are all students facing different situations in life.-keeping the unity and harmony to each other will create an impressive school environment which we are expecting. a school of quality that will produce students with excellent qualities.",1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,5,5,5,5,(the survey anwers that generates 3 simply means the questions were not applicable to the undersigned nor it were experienced as a graduste student to be able to rate appropriately.),1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,5,5,"bigyan ng konsiderasyon ang mga estudyante sa pagpasok at pagpasa ng mga itinakdang gawain, dahil hindi lahat ng estudyante ay maroong maayos na internet connection.",1st Semester,2021-2022,1A,IFMS
4,5,5,5,5,5,5,5,maging mas klaro sa estudiyante lahat ng mga dapat na impormasyon. sa aming mga estudiyante na hindi nakakatanggap ng iskolar na lubos din na nangangailang ay sana mapag tuunan ng atensiyon.pagtuunan ng pansin ang mga mag aaral ng cnsc na lubos ng kailangan ng atensiyon. mga kabataan na dumadanas ng matinding pagsubok sa mga kabilang sarili.pag babawas ng gawain gayong maraming estudiyanteng hindi kinakaya ang mga sunod sunod na gawain at napupunta sa pagsasawalng bahala nalang.ayon lang po ito sa akin. salamat po.,1st Semester,2021-2022,1A,BS-Fisheries
5,5,4,4,5,5,5,5,academic break for atleast once a week,1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,4,5,academic break for atleast once a week,1st Semester,2021-2022,1A,IFMS
3,4,4,4,4,4,4,4,academic break for atleast once a week,1st Semester,2021-2022,1A,BS-Fisheries
3,3,3,2,3,3,3,3,academic break for atleast once a week,1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,5,5,add technical support particulary in library area and improve the classroom for better learnings not only for the students and also for the comfortable and effetive teaching of the instructors in line to upcoming new normal or face to face classes.,1st Semester,2021-2022,1A,IFMS
5,5,5,5,5,5,5,5,additional roofs po siguro para sa mga parking space.,1st Semester,2021-2022,1A,BS-Fisheries
3,3,3,3,3,3,3,3,additional roofs po siguro para sa mga parking space.,1st Semester,2021-2022,1A,CCMS
4,4,3,4,3,3,4,4,additional roofs po siguro para sa mga parking space.,1st Semester,2021-2022,1A,IFMS
4,3,4,5,5,5,4,4,addressing the teachers and students needs,1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,5,5,5,5,addressing the teachers and students needs,1st Semester,2021-2022,1A,CCMS
4,5,5,4,5,5,5,5,agarang aksyon sa mga bagay na may patungkol sa academics.,1st Semester,2021-2022,1A,IFMS
5,5,5,4,5,5,5,5,agarang solusyon sa mga concerns ng bawat mag-aaral lalo na ang mga freshmen. maging mas aktibo sa pakikipagpanayam sa mga students in various online platforms.,1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,5,5,5,5,aim to be better,1st Semester,2021-2022,1A,CCMS
4,4,4,4,4,4,4,4,ako ay wala naman pong imumungkahi. salamat.,1st Semester,2021-2022,1A,IFMS
4,4,4,4,4,4,4,4,ako ay wala ng mungkahi sapagkat para saakin nagagampanan nang maayos at dekalidad ang bawat serbisyo ng camarines norte state college.,1st Semester,2021-2022,1A,BS-Fisheries
4,4,4,4,4,4,4,4,ako'y walang komento,1st Semester,2021-2022,1A,CCMS
3,4,4,4,3,4,4,4,aksyunan ang pangangailangan ng mga mag-aaral ng mas mahusay at epektibo.,1st Semester,2021-2022,1A,IFMS
4,4,3,3,4,3,4,4,"alam ko po na mayroon ding masamang araw or mood tayong lahat pero sana po kapag nasa harapan na kayo sana hindi maisama yung mood niyo na yon, sana maging mukhang approachable pa po kayo. thank you!",1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,5,5,5,5,"alisin ang appointment sa pag pasok o punta sa eskwelahan, dahil nakakaapekto ito sa mga importante na gustong kuhain na mga dokumento sa opisina ng biglaan lalo na at mabilis maubos ang slot ng appointment",1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,5,5,"alisin ang appointment sa pag pasok o punta sa eskwelahan, dahil nakakaapekto ito sa mga importante na gustong kuhain na mga dokumento sa opisina ng biglaan lalo na at mabilis maubos ang slot ng appointment",1st Semester,2021-2022,1A,IFMS
5,5,5,5,5,5,5,5,"alisin ang appointment sa pag pasok o punta sa eskwelahan, dahil nakakaapekto ito sa mga importante na gustong kuhain na mga dokumento sa opisina ng biglaan lalo na at mabilis maubos ang slot ng appointment",1st Semester,2021-2022,1A,BS-Fisheries
